"","Category","Senate.Hearing.Number","Congress","Committees","Committee_Blanks","Title","Collection","Filename","Held.Date","Congress.Chamber","Hearing.Sub.Type","ILS.System.ID","SuDoc.Class.Number","X","Witnesses","Members.of.the.congress","File.exists","heldDate","Scrapped.witnesses","Agency","JK.code","UA.code","Parent.UA.code","US.State","Inspector.General","subCommittee","Committee.member.count","Denominator.count","Party.count.100.200.328.999.9999.","Party...Committee.info.Party.Senior.Party.Member.Committee.Seniority","Expertise"
"20870","Congressional Committee Materials",NA,"110th","128",NA,"HOUSE HEARING, 110TH CONGRESS - DISCUSSION DRAFT OF HEALTH INFORMATION TECHNOLOGY AND PRIVACY LEGISLATION","Congressional Hearings","CHRG-110hhrg55462","4-Jun-08","House of Representatives","General","792167","Y 4.C 73/8:110-122",NA,"Frances Dare Director : Cisco Internet Business Solutions Group;

Steven J. Stack M.D. : Member Board of Trustees; Chairman HIT Advisory Group American Medical Association;

Byron Thames M.D. : Member AARP Board of Directors;

Joycelyn Elders M.D. : Former U.S. Surgeon General Co-Chair African American Health Alliance;

Deborah C. Peel M.D. : Founder and Chair Patient Privacy Rights;

Deven McGraw Director : Health Privacy Project Center for Democracy and Technology;

Carolyn M. Clancy M.D. : Director Agency for Healthcare Research and Quality Department of Health and Human Services; accompanied by Susan D. McAndrew J.D. Deputy Director for Health Information Privacy Office for Civil Rights Department of Health and Human Services;

Marc C. Reed Executive Vice President : Corporate Human Resources Verizon Communications Group Inc;","Marsha Blackburn : United States House of Representatives;

Anna G. Eshoo : United States House of Representatives;

Bart Gordon : United States House of Representatives;

Gene Green : United States House of Representatives;

Hilda L. Solis : United States House of Representatives;

Tim Murphy : United States House of Representatives;

Frank Pallone Jr. : United States House of Representatives;

Henry A. Waxman : United States House of Representatives;

John D. Dingell : United States House of Representatives;

Edolphus Towns : United States House of Representatives;

Nathan Deal : United States House of Representatives;

Michael C. Burgess : United States House of Representatives;

Joe Barton : United States House of Representatives;

Tammy Baldwin : United States House of Representatives;

myrick, sue;

Mike Ferguson : United States House of Representatives;

Mike Rogers : United States House of Representatives;

Lois Capps : United States House of Representatives;

Joseph R. Pitts : United States House of Representatives;

markey, edward j edmarkey, edward j;

Charles A. Gonzalez : United States House of Representatives;","Yes","4/6/08","-","-

-

-

-

-

-

Agency for Healthcare Research and Quality

-","-

-

-

-

-

-

59

-","-

-

-

-

-

-

919.0

-","-

-

-

-

-

-

900.0

-","-

Maryland

Maryland

Maryland

Maryland

-

Maryland

-","No

No

No

No

No

No

No

No","Subcommittee on Health",21,"62","32:30:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

---

200:0:2

---

---

---

---

---

---","-

M.D. : Medical Doctor, a physicians degree

M.D. : Medical Doctor, a physicians degree

M.D. : Medical Doctor, a physicians degree

M.D. : Medical Doctor, a physicians degree

-

M.D. : Medical Doctor, a physicians degree

-"
"12154","Congressional Committee Materials",NA,"111th","251",NA,"HOUSE HEARING, 111TH CONGRESS - FEMA HOUSING: AN EXAMINATION OF CURRENT PROBLEMS AND INNOVATIVE SOLUTIONS","Congressional Hearings","CHRG-111hhrg52955","8-Jul-09","House of Representatives","General","655497",NA,NA,"Mr. W. Craig Fugate Administrator : Federal Emergency Management Agency Department of Homeland Security: Oral Statement;

Mr. Gerald H. Jones Member : National Institute of Building Sciences: Oral Statement;

Mr. Richard L. Skinner Inspector General : Department of Homeland Security: Oral Statement;","James A. Himes : United States House of Representatives;

pascrell, william j, jr;

Mark E. Souder : United States House of Representatives;

Bennie G. Thompson : United States House of Representatives;

Pete Olson : United States House of Representatives;

Christopher P. Carney : United States House of Representatives;

bilirakis, michaelbilirakis, gus;

Al Green : United States House of Representatives;

Sheila Jackson Lee : United States House of Representatives;

Mary Jo Kilroy : United States House of Representatives;

Michael T. McCaul : United States House of Representatives;

Daniel E. Lungren : United States House of Representatives;

Henry Cuellar : United States House of Representatives;

cao, anh äóìjosephäóù;

Emanuel Cleaver : United States House of Representatives;

Laura Richardson : United States House of Representatives;","Yes","8/7/09","-","Department of Homeland Security

National Institute of Building Sciences

Department of Homeland Security","127

239

127","1600.0

3138.0

1600.0","1600.0

3138.0

1600.0","-

-

-","No

No

Yes","-",16,"34","21:13:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

200:0:1

---

---","-

-

-"
"2803","Congressional Committee Materials","S. Hrg. 111-365","111th","435",NA,"S. HRG. 111-365 - S. 1635, SEVENTH GENERATION PROMISE: INDIAN YOUTH SUICIDE PREVENTION ACT OF 2009","Congressional Hearings","CHRG-111shrg55174","10-Sep-09","Senate","General","684720","Y 4.IN 2/11:S.HRG.111-365",NA,"Roubideaux Hon. Yvette : M.D. M.P.H. Director Indian Health Service;

BigFoot Dolores Subia : Ph.D. Director Indian Country Child Trauma Center and Project Making Medicine University of Oklahoma Health Sciences Center;

Broderick Hon. Eric B. : D.D.S. M.P.H. Acting Administrator Substance Abuse and Mental Health Services Administration U.S. Department of Health and Human Services;","Mike Johanns : United States Senate;

Byron L. Dorgan : United States Senate;

John Barrasso : United States Senate;

Tom Udall : United States Senate;","Yes","10/9/09","-","Indian Health Service

-

Department of Health and Human Services","57

-

53","917.0

-

900.0","900.0

-

900.0","Maryland

Oklahoma

-","No

No

No","-",4,"15","9:6:-:-:-","---

---

---

---","M.D. : Medical Doctor, a physicians degree

Ph.D. : Doctor of Philosophy

D.D.S. : Doctor of Dental Surgery, a dentistry degree"
"3466","Congressional Committee Materials","S. Hrg. 111-1175","111th","384",NA,"S. HRG. 111-1175 - INVESTING IN SMALL BUSINESS: JUMPSTARTING THE ENGINES OF OUR ECONOMY","Congressional Hearings","CHRG-111shrg49513","29-Jan-09","Senate","General","931685","Y 4.SM 1/2:S.HRG.111-1175",NA,"Refer column R","Jeanne Shaheen : United States Senate;

Mary L. Landrieu : United States Senate;

Benjamin L. Cardin : United States Senate;

Evan Bayh : United States Senate;

Johnny Isakson : United States Senate;","Yes","29-01-2009","Landrieu, Hon. Mary L., Chair, and a U.S. Senator from Louisiana.     1 Cardin, Hon. Benjamin L., a U.S. Senator from Maryland

Witness Testimony Adams,Timothy, President and CEO, Systems Applications & Technologies

Alford, Harry, President and CEO, National Black Chamber of Commerce, Washington, DC

Coratolo, Giovanni, Executive Director, Small and Mid-market Business Councils, U.S. Chamber of Commerce

Hernandez, D'Juan, President and Chief Executive Officer, Sun Energy

Littlejohn, Virginia, Chief Executive Officer and Founder, Quantum Leaps

Swift, George, President and CEO, Chamber Southwest and the Southwest Louisiana Economic Development Alliance, Lake Charles, LA

","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","Louisiana

-

Washington

-

-

Virginia

Louisiana","No

No

No

No

No

No

No","-",5,"19","10:8:1:-:-","---

---

---

---

---","-"
"4780","Congressional Committee Materials","S. Hrg. 109-46","109th","358",NA,"S. HRG. 109-46 - NOMINATION OF PAUL D. CLEMENT TO BE SOLICITOR GENERAL OF THE UNITED STATES","Congressional Hearings","CHRG-109shrg21706","27-Apr-05","Senate","Nomination",NA,"Y 4.J 89/2",NA,"-","Arlen Specter : United States Senate;

Russell D. Feingold : United States Senate;

coburn, tom acoburn, thomas allen;","Yes","27-04-2005","-","-","-","-","-","-","-","-",3,"18","8:10:-:-:-","---

---

---","-"
"18474","Congressional Committee Materials",NA,"106th","138",NA,"HOUSE HEARING, 106TH CONGRESS - H.R. 2513, A BILL DIRECTING THE ADMINISTRATOR OF GENERAL SERVICES TO ACQUIRE A POSTAL SERVICE BUILDING IN TERRE HAUTE, IN","Congressional Hearings","CHRG-106hhrg64490","29-Sep-99","House of Representatives","General",NA,"Y 4.G 74/7",NA,"Refer column R","Henry A. Waxman : United States House of Representatives;

pease, edward a;

horn, steve;

Doug Ose : United States House of Representatives;

Jim Turner : United States House of Representatives;","Yes","29-09-1999","Creed, Gordon, Deputy Assistant Commissioner for Property Disposal, Public Buildings Service, General Services Administration

Nation, Todd, Save the Architecturally Magnificent Postal Station, Downtown Terre Haute, Inc

Pease, Hon. Edward A., a Representative in Congress from the State of Indiana

Rynne, Edward J., Jr., real estate specialist, Asset Management Group, U.S. Postal Service

Whitlock, James, Assistant Regional Administrator for Public Building, Great Lakes Region (Region 5), General Services Administration

","General Services Administration

-

-

United States Postal Service

General Services Administration","225

-

-

255

225","3090.0

-

-

3210.0

3090.0","3090.0

-

-

3210.0

3090.0","-

-

Indiana

-

-","No

No

No

No

No","Subcommittee on Government Management, Information, and Technology",5,"47","20:26:1:-:-","---

---

200:0:4

---

---","-"
"12491","Congressional Committee Materials",NA,"109th","196",NA,"HOUSE HEARING, 109TH CONGRESS - LONG TERM CARE","Congressional Hearings","CHRG-109hhrg26379","19-Apr-05","House of Representatives","General",NA,"Y 4.W 36",NA,"University of Texas Health Science Center at San Antonio : San Antonio Texas Meghan Gerety M.D;

Georgetown Public Policy Institute Judy Feder : Ph.D;

Genworth Financial Buck Stinson : nan;

Congressional Budget Office Douglas Holtz-Eakin : Ph.D;

Lutheran Homes of Michigan Frankemuth : Michigan David M. Gehm;

George Mason University Center for Health Policy : Research and Ethics Arlington Virginia Mark R. Meiners Ph.D;","Rahm Emanuel : United States House of Representatives;

Jim McCrery : United States House of Representatives;

Mike Thompson : United States House of Representatives;

Nancy L. Johnson : United States House of Representatives;

Dave Camp : United States House of Representatives;

Sam Johnson : United States House of Representatives;

John Lewis : United States House of Representatives;

Earl Pomeroy : United States House of Representatives;

Fortney Pete Stark : United States House of Representatives;","Yes","19-04-2005","-","-

-

-

-

-

-","-

-

-

-

-

-","-

-

-

-

-

-","-

-

-

-

-

-","Texas

-

-

-

Michigan

Virginia","No

No

No

No

No

No","Subcommittee on Health",9,"42","17:25:-:-:-","---

---

---

---

---

---

---

---

---","-

-

-

-

-

-"
"21113","Congressional Committee Materials",NA,"111th","128",NA,"HOUSE HEARING, 111TH CONGRESS - COMMERCIAL SALES OF MILITARY TECHNOLOGIES","Congressional Hearings","CHRG-111hhrg73750","4-Jun-09","House of Representatives","General","876415","Y 4.C 73/8:111-43",NA,"Refer column R","Marsha Blackburn : United States House of Representatives;

Phil Gingrey : United States House of Representatives;

markey, edward j edmarkey, edward j;

Michael C. Burgess : United States House of Representatives;

Peter Welch : United States House of Representatives;

Diana DeGette : United States House of Representatives;

Betty Sutton : United States House of Representatives;

Greg Walden : United States House of Representatives;

Michael F. Doyle : United States House of Representatives;

Bruce L. Braley : United States House of Representatives;

Bart Stupak : United States House of Representatives;","Yes","4/6/09","Hon. Bart Stupak, a Representative in Congress from the State of Michigan, opening statement

Hon. Greg Walden, a Representative in Congress from the State of Oregon, opening statement

Hon. Edward J. Markey, a Representative in Congress from the Commonwealth of Massachusetts, opening statement

Hon. Diana Degette, a Representative in Congress from the State of Colorado, opening statement

Hon. Bruce L. Braley, a Representative in Congress from the State of Iowa, opening statement

Hon. Phil Gingrey, a Representative in Congress from the State of Georgia, opening statement

Hon. Betty Sutton, a Representative in Congress from the State of Ohio, opening statement

Hon. Marsha Blackburn, a Representative in Congress from the State of Tennessee, opening statement

Hon. Michael C. Burgess, a Representative in Congress from the State of Texas, opening statement

Witnesses Gregory Kutz, Managing Director, Forensic Audits and Special Investigations, Government Accountability Office

Anne-Marie Lasowski, Director, Acquisition and Sourcing Management, Government Accountability Office

Matthew Borman, Deputy Assistant Secretary, Bureau of Industry and Security, Department of Commerce

Thomas Madigan, Director of the Office of Export Enforcement, Bureau of Industry and Security, Department of Commerce

Michael Alvis, Vice President for Business Development, ITT Industries

John Roush, Senior Vice President and President, Environmental Health, Perkin Elmer

","-

-

-

-

-

-

-

-

-

-

-

Bureau of Industry and Security

Bureau of Industry and Security

-

-","-

-

-

-

-

-

-

-

-

-

-

44

44

-

-","-

-

-

-

-

-

-

-

-

-

-

694.0

694.0

-

-","-

-

-

-

-

-

-

-

-

-

-

600.0

600.0

-

-","Michigan

Oregon

Massachusetts

Colorado

Iowa

Georgia

Ohio

Tennessee

Texas

-

-

-

-

-

-","No

No

No

No

No

No

No

No

No

No

No

No

No

No

No","Subcommittee on Oversight and Investigations",11,"61","36:25:-:-:-","---

---

---

---

---

---

---

---

---

---

---","-"
"7957","Congressional Committee Materials","S. Hrg. 112-529","112th","330",NA,"S. HRG. 112-529 - ELECTRIC GRID SECURITY","Congressional Hearings","CHRG-112shrg75809","17-Jul-12","Senate","General","880390","Y 4.EN 2:S.HRG.112-529",NA,"Refer column R","Lisa Murkowski : United States Senate;

Ron Wyden : United States Senate;

Mark Udall : United States Senate;

Christopher A. Coons : United States Senate;

Al Franken : United States Senate;","Yes","17-07-2012","Bingaman, Hon. Jeff, U.S. Senator From New Mexico

Cauley, Gerry, President and Chief Executive Officer, North American Electric Reliability Corporation

McClelland, Joseph, Director, Office of Electric Reliability, Federal Energy Regulatory Commission

Snitchler, Todd A., Chairman, Public Utilities Commission of Ohio    32 Wilshusen, Gregory C., Director, Information Security Issues, Government Accountability Office

","-

-

Federal Energy Regulatory Commission

-","-

-

155

-","-

-

1902.0

-","-

-

1900.0

-","New Mexico

-

-

Ohio","No

No

No

No","-",5,"23","11:11:1:-:-","---

---

---

---

---","-"
"9138","Congressional Committee Materials","S. Hrg. 109-1137","109th","321",NA,"S. HRG. 109-1137 - THE LIFESAVING ROLE OF ACCURATE HURRICANE PREDICTION AND PREPARATION","Congressional Hearings","CHRG-109shrg66856","20-Sep-05","Senate","General","826250","Y 4.C 73/7:S.HRG.109-1137",NA,"Curole Windell : General Manager South Lafourche Levee District;

Levitan Dr. Marc L. : Director Hurricane Center/Charles P. Siess Jr. Associate Professor of Civil Engineering Louisiana State University; President American Association for Wind Engineering;

Roberts C. Patrick : President Florida Association of Broadcasters (FAB);

Blackwell Dr. Keith G. : Associate Professor of Meteorology Coastal Weather Research Center University of South Alabama;

Mayfield Max : Director Tropical Prediction Center/National Hurricane Center;","demint, james w demint, jim;

David Vitter : United States Senate;","Yes","20-09-2005","-","-

-

-

-

-","-

-

-

-

-","-

-

-

-

-","-

-

-

-

-","-

Louisiana

Florida

Alabama

-","No

No

No

No

No","Subcommittee on Disaster Prevention and Prediction",2,"22","10:12:-:-:-","---

---","-

-

-

-

-"
"13366","Congressional Committee Materials",NA,"111th","192",NA,"HOUSE HEARING, 111TH CONGRESS - FUNDING THE U.S. DEPARTMENT OF VETERANS AFFAIRS OF THE FUTURE","Congressional Hearings","CHRG-111hhrg49914","29-Apr-09","House of Representatives","General",NA,"Y 4.V 64/3",NA,"U.S. Department of Veterans Affairs Hon. Eric K. Shinseki : Secretary;

Partnership for Veterans Health Care Budget Reform: Joseph A. Violante National Legislative Director : Disabled American Veterans;

Harris Katherine M. : Ph.D. Study Director Review and Evaluation of the VA Enrollee Projection Model RAND Corporation;

U.S. Department of Health and Human Services Jessica Banthin : Ph.D. Director of Modeling and Simulation Center for Financing Access and Cost Trends Agency for Health Care Research and Quality;

Congressional Research Service Library of Congress : Sidath Viranga Panangala Analyst in Veterans Policy;

U.S. Government Accountability Office Randall B. Williamson : Director Health Care;","John J. Hall : United States House of Representatives;

Harry Teague : United States House of Representatives;

Gus M. Bilirakis : United States House of Representatives;

Bob Filner : United States House of Representatives;

Vic Snyder : United States House of Representatives;

Timothy J. Walz : United States House of Representatives;

Deborah L. Halvorson : United States House of Representatives;

moran, james p, jr;

Vern Buchanan : United States House of Representatives;

Michael H. Michaud : United States House of Representatives;

stearns, clifford b;

buyer, stephen e;","Yes","29-04-2009","-","Department of Veterans Affairs

-

-

Department of Health and Human Services

Library of Congress

-","200

-

-

53

326

-","2900.0

-

-

900.0

nan

-","2900.0

-

-

900.0

nan

-","-

-

Virginia

-

-

-","No

No

No

No

No

No","-",12,"31","18:13:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---","-

-

Ph.D. : Doctor of Philosophy

Ph.D. : Doctor of Philosophy

-

-"
